kind	axis	factor	model	variant	representation	target	regressor	panel	matrix	metadata	embed_model	panel_row_index_column	metadata_row_index_column	expected_rows	output
regression	valuation	direction	roberta	masked_short	body_mean	next_pe_log_dev	ridge	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/direction.npy	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/metadata.parquet	chinese_roberta	row_index	row_index	75894	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/regression_body_extended_v1/valuation_direction_ridge_next_pe_log_dev/result.json
regression	valuation	direction	roberta	masked_short	body_mean	next_pe_log_dev	huber_sgd	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/direction.npy	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/metadata.parquet	chinese_roberta	row_index	row_index	75894	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/regression_body_extended_v1/valuation_direction_huber_sgd_next_pe_log_dev/result.json
regression	valuation	direction	roberta	masked_short	body_mean	next_pe_log_dev	elasticnet_sgd	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/direction.npy	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/metadata.parquet	chinese_roberta	row_index	row_index	75894	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/regression_body_extended_v1/valuation_direction_elasticnet_sgd_next_pe_log_dev/result.json
regression	valuation	direction	roberta	masked_short	body_mean	next_pb_log_dev	ridge	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/direction.npy	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/metadata.parquet	chinese_roberta	row_index	row_index	75894	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/regression_body_extended_v1/valuation_direction_ridge_next_pb_log_dev/result.json
regression	valuation	direction	roberta	masked_short	body_mean	next_pb_log_dev	huber_sgd	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/direction.npy	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/metadata.parquet	chinese_roberta	row_index	row_index	75894	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/regression_body_extended_v1/valuation_direction_huber_sgd_next_pb_log_dev/result.json
regression	valuation	direction	roberta	masked_short	body_mean	next_pb_log_dev	elasticnet_sgd	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/direction.npy	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/metadata.parquet	chinese_roberta	row_index	row_index	75894	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/regression_body_extended_v1/valuation_direction_elasticnet_sgd_next_pb_log_dev/result.json
regression	valuation	direction	roberta	masked_short	body_mean	next_ps_log_dev	ridge	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/direction.npy	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/metadata.parquet	chinese_roberta	row_index	row_index	75894	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/regression_body_extended_v1/valuation_direction_ridge_next_ps_log_dev/result.json
regression	valuation	direction	roberta	masked_short	body_mean	next_ps_log_dev	huber_sgd	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/direction.npy	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/metadata.parquet	chinese_roberta	row_index	row_index	75894	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/regression_body_extended_v1/valuation_direction_huber_sgd_next_ps_log_dev/result.json
regression	valuation	direction	roberta	masked_short	body_mean	next_ps_log_dev	elasticnet_sgd	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/direction.npy	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/metadata.parquet	chinese_roberta	row_index	row_index	75894	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/regression_body_extended_v1/valuation_direction_elasticnet_sgd_next_ps_log_dev/result.json
regression	valuation	direction	roberta	masked_short	body_mean	next_evtoebitda_log_dev	ridge	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/direction.npy	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/metadata.parquet	chinese_roberta	row_index	row_index	75894	/mnt/lustre3/home/gaozh/sina_all_news_records_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/regression_body_extended_v1/valuation_direction_ridge_next_evtoebitda_log_dev/result.json
